"date_analysis","proj","model1","model2","model3"
2022-06-15,0,"gbm","rf","gru"
2022-06-15,1,"rf","gru","xgb"
2022-06-15,2,"gru","rf","gbm"
2022-06-15,3,"rf","gbm","gru"
2022-06-15,4,"rf","gbm","gru"
2022-06-15,5,"gru","rf","gbm"
2022-06-15,6,"gru","gbm","rf"
2022-06-15,7,"gru","gpr","svr"
2022-06-15,8,"gru","gpr","gbm"
2022-06-15,9,"gru","gpr","svr"
2022-06-15,10,"gru","rf","gpr"
2022-06-15,11,"rf","gru","gbm"
2022-06-15,12,"rf","gbm","gpr"
2022-06-15,13,"gbm","rf","gpr"
2022-06-15,14,"gpr","gbm","rf"
2022-06-16,0,"gru","gbm","lm"
2022-06-16,1,"gru","rf","xgb"
2022-06-16,2,"rf","gru","gbm"
2022-06-16,3,"rf","gru","gbm"
2022-06-16,4,"rf","gbm","xgb"
2022-06-16,5,"rf","gbm","gru"
2022-06-16,6,"gru","gbm","rf"
2022-06-16,7,"gru","gbm","rf"
2022-06-16,8,"gru","gbm","gpr"
2022-06-16,9,"gru","gpr","gbm"
2022-06-16,10,"gru","gpr","rf"
2022-06-16,11,"gru","gpr","rf"
2022-06-16,12,"gpr","gru","gbm"
2022-06-16,13,"rf","gbm","gru"
2022-06-16,14,"gpr","gbm","rf"
2022-06-17,0,"lm","gpr","svr"
2022-06-17,1,"rf","xgb","gru"
2022-06-17,2,"rf","gru","gbm"
2022-06-17,3,"rf","gru","gbm"
2022-06-17,4,"rf","xgb","gru"
2022-06-17,5,"rf","gbm","xgb"
2022-06-17,6,"gbm","rf","gru"
2022-06-17,7,"gru","gbm","rf"
2022-06-17,8,"gru","rf","gbm"
2022-06-17,9,"gru","gpr","gbm"
2022-06-17,10,"gru","gpr","rf"
2022-06-17,11,"gru","gpr","lm"
2022-06-17,12,"gru","gpr","gbm"
2022-06-17,13,"gru","gpr","rf"
2022-06-17,14,"gpr","gbm","rf"
2022-06-18,0,"gpr","svr","lm"
2022-06-18,1,"rf","gam","svr"
2022-06-18,2,"rf","gbm","gam"
2022-06-18,3,"rf","gru","xgb"
2022-06-18,4,"xgb","gru","rf"
2022-06-18,5,"xgb","gru","rf"
2022-06-18,6,"rf","gru","xgb"
2022-06-18,7,"rf","gru","gbm"
2022-06-18,8,"gru","rf","gbm"
2022-06-18,9,"gru","gbm","rf"
2022-06-18,10,"gru","gpr","rf"
2022-06-18,11,"gru","gpr","lm"
2022-06-18,12,"gru","gpr","gbm"
2022-06-18,13,"gru","gpr","rf"
2022-06-18,14,"gpr","gru","gbm"
2022-06-19,0,"gpr","svr","lm"
2022-06-19,1,"rf","garch","svr"
2022-06-19,2,"rf","gam","garch"
2022-06-19,3,"xgb","rf","gam"
2022-06-19,4,"xgb","gru","lm"
2022-06-19,5,"xgb","gru","lm"
2022-06-19,6,"gru","xgb","rf"
2022-06-19,7,"rf","gru","xgb"
2022-06-19,8,"rf","gru","gbm"
2022-06-19,9,"gru","rf","gbm"
2022-06-19,10,"gru","rf","gbm"
2022-06-19,11,"gru","gpr","lm"
2022-06-19,12,"gru","gpr","gbm"
2022-06-19,13,"gru","gpr","gbm"
2022-06-19,14,"gru","gpr","gbm"
2022-06-20,0,"gpr","svr","lm"
2022-06-20,1,"rf","garch","svr"
2022-06-20,2,"rf","garch","gam"
2022-06-20,3,"garch","lm","xgb"
2022-06-20,4,"xgb","lm","gru"
2022-06-20,5,"xgb","gru","lm"
2022-06-20,6,"xgb","gru","rf"
2022-06-20,7,"gru","rf","xgb"
2022-06-20,8,"rf","gru","xgb"
2022-06-20,9,"gru","rf","xgb"
2022-06-20,10,"gru","rf","gbm"
2022-06-20,11,"gru","gpr","gbm"
2022-06-20,12,"gru","gpr","gbm"
2022-06-20,13,"gru","gpr","gbm"
2022-06-20,14,"gru","gpr","gbm"
2022-06-21,0,"gpr","svr","lm"
2022-06-21,1,"rf","gbm","garch"
2022-06-21,2,"rf","gbm","garch"
2022-06-21,3,"xgb","arima","garch"
2022-06-21,4,"xgb","lm","garch"
2022-06-21,5,"xgb","gru","lm"
2022-06-21,6,"xgb","gru","rf"
2022-06-21,7,"gru","xgb","rf"
2022-06-21,8,"gru","xgb","rf"
2022-06-21,9,"gru","rf","xgb"
2022-06-21,10,"gru","gbm","rf"
2022-06-21,11,"gru","gbm","rf"
2022-06-21,12,"gru","gbm","gpr"
2022-06-21,13,"gru","gpr","gbm"
2022-06-21,14,"gru","gpr","gbm"
2022-06-22,0,"gpr","svr","lm"
2022-06-22,1,"rf","gbm","garch"
2022-06-22,2,"rf","garch","gbm"
2022-06-22,3,"xgb","arima","garch"
2022-06-22,4,"xgb","arima","garch"
2022-06-22,5,"xgb","lm","svr"
2022-06-22,6,"xgb","gru","lm"
2022-06-22,7,"xgb","gru","lm"
2022-06-22,8,"xgb","gru","rf"
2022-06-22,9,"gru","xgb","rf"
2022-06-22,10,"gru","rf","gbm"
2022-06-22,11,"gru","gbm","rf"
2022-06-22,12,"gru","gbm","rf"
2022-06-22,13,"gru","gpr","rf"
2022-06-22,14,"gru","gpr","rf"
2022-06-23,0,"rf","gpr","svr"
2022-06-23,1,"rf","gbm","svr"
2022-06-23,2,"rf","garch","arima"
2022-06-23,3,"arima","garch","lm"
2022-06-23,4,"xgb","arima","garch"
2022-06-23,5,"xgb","arima","garch"
2022-06-23,6,"xgb","lm","gpr"
2022-06-23,7,"xgb","gru","gpr"
2022-06-23,8,"gru","xgb","rf"
2022-06-23,9,"rf","gru","xgb"
2022-06-23,10,"gru","gbm","rf"
2022-06-23,11,"gru","gbm","rf"
2022-06-23,12,"gru","gbm","rf"
2022-06-23,13,"gru","gbm","rf"
2022-06-23,14,"gru","gpr","rf"
2022-06-24,0,"rf","gpr","lm"
2022-06-24,1,"rf","gbm","svr"
2022-06-24,2,"garch","rf","arima"
2022-06-24,3,"arima","garch","gpr"
2022-06-24,4,"xgb","arima","garch"
2022-06-24,5,"arima","garch","gpr"
2022-06-24,6,"xgb","lm","gpr"
2022-06-24,7,"xgb","lm","gpr"
2022-06-24,8,"xgb","gru","gpr"
2022-06-24,9,"rf","gru","xgb"
2022-06-24,10,"rf","gbm","gru"
2022-06-24,11,"gru","gbm","rf"
2022-06-24,12,"gru","gbm","rf"
2022-06-24,13,"gru","gbm","rf"
2022-06-24,14,"gru","gbm","rf"
2022-06-25,0,"rf","arima","garch"
2022-06-25,1,"lm","gpr","garch"
2022-06-25,2,"rf","garch","arima"
2022-06-25,3,"arima","garch","gpr"
2022-06-25,4,"xgb","arima","garch"
2022-06-25,5,"arima","garch","xgb"
2022-06-25,6,"xgb","gpr","lm"
2022-06-25,7,"xgb","gpr","lm"
2022-06-25,8,"xgb","gru","gpr"
2022-06-25,9,"gru","rf","xgb"
2022-06-25,10,"rf","gru","gbm"
2022-06-25,11,"gbm","rf","gru"
2022-06-25,12,"gru","gbm","rf"
2022-06-25,13,"gru","gbm","rf"
2022-06-25,14,"gru","gbm","xgb"
2022-06-26,0,"rf","gpr","arima"
2022-06-26,1,"garch","arima","lm"
2022-06-26,2,"gru","rf","garch"
2022-06-26,3,"arima","garch","gpr"
2022-06-26,4,"arima","garch","xgb"
2022-06-26,5,"arima","garch","gpr"
2022-06-26,6,"gpr","xgb","lm"
2022-06-26,7,"xgb","gpr","lm"
2022-06-26,8,"xgb","gru","gpr"
2022-06-26,9,"gru","xgb","rf"
2022-06-26,10,"gru","rf","xgb"
2022-06-26,11,"rf","gbm","gru"
2022-06-26,12,"gbm","rf","gru"
2022-06-26,13,"gru","gbm","rf"
2022-06-26,14,"gru","gbm","rf"
2022-06-27,0,"rf","arima","garch"
2022-06-27,1,"garch","lm","arima"
2022-06-27,2,"gru","garch","rf"
2022-06-27,3,"arima","garch","gpr"
2022-06-27,4,"xgb","arima","garch"
2022-06-27,5,"arima","garch","gam"
2022-06-27,6,"gpr","lm","arima"
2022-06-27,7,"xgb","gpr","lm"
2022-06-27,8,"xgb","gru","gpr"
2022-06-27,9,"gru","xgb","gpr"
2022-06-27,10,"rf","gru","xgb"
2022-06-27,11,"gru","rf","gbm"
2022-06-27,12,"rf","gbm","gru"
2022-06-27,13,"gbm","gru","rf"
2022-06-27,14,"gru","gbm","rf"
2022-06-28,0,"rf","gpr","arima"
2022-06-28,1,"gpr","lm","gbm"
2022-06-28,2,"gru","garch","gpr"
2022-06-28,3,"arima","garch","gpr"
2022-06-28,4,"xgb","arima","garch"
2022-06-28,5,"arima","garch","gam"
2022-06-28,6,"gpr","lm","garch"
2022-06-28,7,"xgb","gpr","lm"
2022-06-28,8,"xgb","gru","gpr"
2022-06-28,9,"xgb","gru","gpr"
2022-06-28,10,"gru","rf","gpr"
2022-06-28,11,"rf","gru","gbm"
2022-06-28,12,"rf","gbm","gru"
2022-06-28,13,"gbm","gru","rf"
2022-06-28,14,"gbm","gru","rf"
2022-06-29,0,"rf","gbm","gpr"
2022-06-29,1,"rf","gbm","svr"
2022-06-29,2,"garch","gbm","gru"
2022-06-29,3,"arima","garch","gpr"
2022-06-29,4,"arima","garch","gpr"
2022-06-29,5,"gru","arima","gpr"
2022-06-29,6,"gpr","lm","garch"
2022-06-29,7,"gpr","xgb","lm"
2022-06-29,8,"xgb","gpr","gru"
2022-06-29,9,"xgb","gpr","lm"
2022-06-29,10,"gru","gpr","lm"
2022-06-29,11,"gru","rf","gbm"
2022-06-29,12,"rf","gru","gbm"
2022-06-29,13,"gru","gbm","rf"
2022-06-29,14,"gbm","gru","rf"
2022-06-30,0,"rf","gpr","lm"
2022-06-30,1,"rf","gpr","gbm"
2022-06-30,2,"gpr","arima","garch"
2022-06-30,3,"arima","garch","gpr"
2022-06-30,4,"gpr","arima","garch"
2022-06-30,5,"gru","xgb","gam"
2022-06-30,6,"gpr","lm","garch"
