"date_analysis","proj","model1","model2","model3"
2022-07-01,0,"xgb","svr","garch"
2022-07-01,1,"xgb","svr","lm"
2022-07-01,2,"xgb","lm","garch"
2022-07-01,3,"xgb","gam","lm"
2022-07-01,4,"lm","gam","arima"
2022-07-01,5,"gpr","lm","arima"
2022-07-01,6,"gpr","lm","arima"
2022-07-01,7,"gpr","lm","gru"
2022-07-02,0,"xgb","gbm","svr"
2022-07-02,1,"xgb","svr","garch"
2022-07-02,2,"svr","xgb","lm"
2022-07-02,3,"xgb","lm","garch"
2022-07-02,4,"xgb","gam","lm"
2022-07-02,5,"lm","arima","gam"
2022-07-02,6,"lm","arima","garch"
2022-07-02,7,"arima","lm","garch"
2022-07-03,0,"xgb","gbm","rf"
2022-07-03,1,"xgb","svr","gbm"
2022-07-03,2,"xgb","svr","garch"
2022-07-03,3,"svr","xgb","lm"
2022-07-03,4,"xgb","svr","gam"
2022-07-03,5,"gam","xgb","garch"
2022-07-03,6,"gam","garch","arima"
2022-07-03,7,"garch","arima","gam"
2022-07-04,0,"xgb","gbm","rf"
2022-07-04,1,"xgb","svr","gbm"
2022-07-04,2,"xgb","svr","garch"
2022-07-04,3,"xgb","svr","garch"
2022-07-04,4,"svr","xgb","garch"
2022-07-04,5,"svr","gam","xgb"
2022-07-04,6,"svr","gam","garch"
2022-07-04,7,"svr","garch","arima"
2022-07-05,0,"rf","gbm","xgb"
2022-07-05,1,"svr","xgb","gbm"
2022-07-05,2,"xgb","svr","garch"
2022-07-05,3,"svr","xgb","garch"
2022-07-05,4,"svr","xgb","garch"
2022-07-05,5,"svr","xgb","garch"
2022-07-05,6,"svr","garch","gam"
2022-07-05,7,"svr","garch","arima"
2022-07-06,0,"xgb","rf","gbm"
2022-07-06,1,"rf","garch","svr"
2022-07-06,2,"svr","garch","arima"
2022-07-06,3,"svr","garch","arima"
2022-07-06,4,"svr","garch","lm"
2022-07-06,5,"svr","gam","garch"
2022-07-06,6,"gam","svr","garch"
2022-07-06,7,"garch","svr","arima"
2022-07-07,0,"xgb","gru","gam"
2022-07-07,1,"xgb","rf","gru"
2022-07-07,2,"garch","arima","gpr"
2022-07-07,3,"svr","garch","arima"
2022-07-07,4,"svr","garch","lm"
2022-07-07,5,"svr","lm","garch"
2022-07-07,6,"gam","garch","svr"
2022-07-07,7,"garch","gam","arima"
2022-07-08,0,"gru","xgb","gam"
2022-07-08,1,"xgb","gru","rf"
2022-07-08,2,"rf","xgb","gru"
2022-07-08,3,"garch","gpr","arima"
2022-07-08,4,"gpr","garch","lm"
2022-07-08,5,"lm","gpr","garch"
2022-07-08,6,"lm","gpr","gru"
2022-07-08,7,"gam","gru","garch"
2022-07-09,0,"gru","gam","xgb"
2022-07-09,1,"gru","xgb","gam"
2022-07-09,2,"gru","xgb","rf"
2022-07-09,3,"rf","gru","xgb"
2022-07-09,4,"gpr","garch","arima"
2022-07-09,5,"gpr","lm","garch"
2022-07-09,6,"gru","gpr","rf"
2022-07-09,7,"gru","gpr","rf"
2022-07-10,0,"gru","gam","xgb"
2022-07-10,1,"gru","gam","xgb"
2022-07-10,2,"gru","xgb","gam"
2022-07-10,3,"gru","rf","gpr"
2022-07-10,4,"rf","gru","gpr"
2022-07-10,5,"gpr","rf","garch"
2022-07-10,6,"gpr","gru","rf"
2022-07-10,7,"gru","gpr","rf"
2022-07-11,0,"gru","gam","xgb"
2022-07-11,1,"gru","gam","xgb"
2022-07-11,2,"gru","xgb","gam"
2022-07-11,3,"gru","rf","gpr"
2022-07-11,4,"rf","gru","gpr"
2022-07-11,5,"rf","gru","gpr"
2022-07-11,6,"gpr","rf","gru"
2022-07-11,7,"gru","gpr","rf"
2022-07-12,0,"gru","gam","xgb"
2022-07-12,1,"gru","gam","xgb"
2022-07-12,2,"gru","xgb","gam"
2022-07-12,3,"gru","gpr","xgb"
2022-07-12,4,"gru","rf","gpr"
2022-07-12,5,"rf","gru","gpr"
2022-07-12,6,"rf","gru","gpr"
2022-07-12,7,"gpr","gru","rf"
2022-07-13,0,"gam","gru","gpr"
2022-07-13,1,"gru","gam","xgb"
2022-07-13,2,"gru","xgb","gam"
2022-07-13,3,"gru","gpr","xgb"
2022-07-13,4,"gru","rf","gpr"
2022-07-13,5,"rf","gru","gpr"
2022-07-13,6,"rf","gru","gpr"
2022-07-13,7,"gru","rf","gpr"
2022-07-14,0,"gam","gru","garch"
2022-07-14,1,"gam","gru","gpr"
2022-07-14,2,"gru","gam","xgb"
2022-07-14,3,"gru","xgb","gam"
2022-07-14,4,"gru","gpr","rf"
2022-07-14,5,"rf","gru","gpr"
2022-07-14,6,"rf","gru","gpr"
2022-07-14,7,"gru","rf","gpr"
2022-07-15,0,"gam","garch","gru"
2022-07-15,1,"gam","garch","arima"
2022-07-15,2,"gam","gru","gpr"
2022-07-15,3,"gru","gam","xgb"
2022-07-15,4,"gru","xgb","rf"
2022-07-15,5,"rf","gru","gpr"
2022-07-15,6,"rf","gru","gpr"
2022-07-15,7,"gru","rf","gpr"
2022-07-16,0,"garch","gam","arima"
2022-07-16,1,"gam","garch","arima"
2022-07-16,2,"gpr","gam","garch"
2022-07-16,3,"gam","gpr","gru"
2022-07-16,4,"gru","gam","xgb"
2022-07-16,5,"gru","rf","gbm"
2022-07-16,6,"rf","gru","gpr"
2022-07-16,7,"rf","gru","gpr"
2022-07-17,0,"garch","arima","gpr"
2022-07-17,1,"garch","arima","gpr"
2022-07-17,2,"gam","garch","arima"
2022-07-17,3,"gpr","lm","gam"
2022-07-17,4,"gam","gpr","gru"
2022-07-17,5,"gru","gam","xgb"
2022-07-17,6,"rf","gru","gbm"
2022-07-17,7,"rf","gru","gbm"
2022-07-18,0,"garch","gpr","arima"
2022-07-18,1,"garch","arima","gpr"
2022-07-18,2,"garch","arima","gpr"
2022-07-18,3,"gpr","gam","garch"
2022-07-18,4,"gpr","lm","garch"
2022-07-18,5,"gpr","gam","gru"
2022-07-18,6,"gru","gam","gbm"
2022-07-18,7,"rf","gbm","gru"
2022-07-19,0,"garch","arima","gpr"
2022-07-19,1,"garch","gpr","arima"
2022-07-19,2,"garch","arima","gpr"
2022-07-19,3,"gpr","garch","arima"
2022-07-19,4,"gpr","garch","arima"
2022-07-19,5,"gpr","lm","gam"
2022-07-19,6,"gbm","gpr","gam"
2022-07-19,7,"rf","gru","gbm"
2022-07-20,0,"garch","arima","gam"
2022-07-20,1,"garch","arima","gpr"
2022-07-20,2,"garch","arima","gpr"
2022-07-20,3,"garch","arima","gpr"
2022-07-20,4,"gpr","garch","lm"
2022-07-20,5,"gpr","garch","lm"
2022-07-20,6,"gpr","gbm","lm"
2022-07-20,7,"gbm","gpr","lm"
2022-07-21,0,"gam","garch","arima"
2022-07-21,1,"garch","arima","lm"
2022-07-21,2,"arima","garch","gpr"
2022-07-21,3,"garch","arima","gpr"
2022-07-21,4,"garch","arima","gpr"
2022-07-21,5,"gpr","garch","lm"
2022-07-21,6,"gbm","gpr","lm"
2022-07-21,7,"gpr","gbm","lm"
2022-07-22,0,"gam","garch","arima"
2022-07-22,1,"gam","garch","arima"
2022-07-22,2,"garch","arima","lm"
2022-07-22,3,"arima","garch","lm"
2022-07-22,4,"garch","arima","gpr"
2022-07-22,5,"garch","gpr","arima"
2022-07-22,6,"gpr","garch","lm"
2022-07-22,7,"gpr","lm","garch"
2022-07-23,0,"gam","garch","arima"
2022-07-23,1,"gam","garch","arima"
2022-07-23,2,"gam","garch","arima"
2022-07-23,3,"garch","arima","lm"
2022-07-23,4,"arima","garch","gpr"
2022-07-23,5,"garch","gpr","arima"
2022-07-23,6,"garch","gpr","arima"
2022-07-23,7,"garch","lm","gpr"
2022-07-24,0,"gam","garch","arima"
2022-07-24,1,"gam","garch","arima"
2022-07-24,2,"gam","arima","garch"
2022-07-24,3,"arima","gam","garch"
2022-07-24,4,"garch","arima","lm"
2022-07-24,5,"arima","garch","gpr"
2022-07-24,6,"garch","gpr","arima"
2022-07-24,7,"garch","gpr","lm"
2022-07-25,0,"gam","garch","arima"
2022-07-25,1,"gam","garch","arima"
2022-07-25,2,"gam","garch","arima"
2022-07-25,3,"gam","arima","garch"
2022-07-25,4,"arima","garch","gam"
2022-07-25,5,"garch","arima","gpr"
2022-07-25,6,"arima","garch","gpr"
2022-07-25,7,"garch","gpr","lm"
2022-07-26,0,"gam","garch","arima"
2022-07-26,1,"gam","garch","arima"
2022-07-26,2,"gam","arima","garch"
2022-07-26,3,"gam","arima","garch"
2022-07-26,4,"arima","garch","gam"
2022-07-26,5,"arima","garch","gpr"
2022-07-26,6,"garch","arima","gpr"
2022-07-26,7,"gpr","garch","arima"
2022-07-27,0,"gam","garch","arima"
2022-07-27,1,"gam","garch","arima"
2022-07-27,2,"gam","garch","arima"
2022-07-27,3,"arima","gam","garch"
2022-07-27,4,"arima","garch","gam"
2022-07-27,5,"arima","garch","gpr"
2022-07-27,6,"arima","garch","gpr"
2022-07-27,7,"garch","gpr","arima"
2022-07-28,0,"gam","garch","svr"
2022-07-28,1,"gam","garch","arima"
2022-07-28,2,"gam","arima","garch"
2022-07-28,3,"gam","arima","garch"
2022-07-28,4,"arima","garch","gam"
2022-07-28,5,"arima","garch","gpr"
2022-07-28,6,"arima","garch","gpr"
2022-07-28,7,"garch","arima","gpr"
2022-07-29,0,"gam","garch","svr"
2022-07-29,1,"gam","garch","arima"
2022-07-29,2,"gam","arima","garch"
2022-07-29,3,"gam","arima","garch"
2022-07-29,4,"arima","garch","gam"
2022-07-29,5,"arima","garch","gpr"
2022-07-29,6,"arima","garch","gpr"
2022-07-29,7,"gpr","garch","arima"
2022-07-30,0,"gam","garch","svr"
2022-07-30,1,"gam","garch","arima"
2022-07-30,2,"gam","garch","arima"
2022-07-30,3,"gam","arima","garch"
2022-07-30,4,"gam","arima","garch"
2022-07-30,5,"arima","garch","gpr"
2022-07-30,6,"arima","garch","gpr"
2022-07-30,7,"arima","garch","gpr"
2022-07-31,0,"gam","xgb","garch"
2022-07-31,1,"gam","garch","arima"
2022-07-31,2,"gam","arima","garch"
2022-07-31,3,"garch","arima","gam"
2022-07-31,4,"gam","arima","garch"
2022-07-31,5,"arima","garch","gam"
2022-07-31,6,"arima","garch","gpr"
2022-07-31,7,"gpr","garch","arima"
2022-08-01,0,"gam","garch","arima"
2022-08-01,1,"gam","xgb","garch"
2022-08-01,2,"arima","garch","gam"
2022-08-01,3,"arima","garch","lm"
2022-08-01,4,"garch","arima","lm"
2022-08-01,5,"arima","gam","garch"
2022-08-01,6,"garch","gpr","arima"
2022-08-01,7,"gpr","garch","arima"
2022-08-02,0,"xgb","gam","garch"
2022-08-02,1,"gam","arima","garch"
2022-08-02,2,"gam","arima","garch"
2022-08-02,3,"garch","arima","lm"
2022-08-02,4,"garch","arima","lm"
2022-08-02,5,"garch","lm","gpr"
2022-08-02,6,"gpr","lm","gam"
2022-08-02,7,"gpr","lm","gam"
2022-08-03,0,"xgb","arima","garch"
2022-08-03,1,"xgb","gam","arima"
2022-08-03,2,"arima","garch","svr"
2022-08-03,3,"gam","garch","arima"
2022-08-03,4,"garch","gpr","svr"
2022-08-03,5,"svr","gpr","lm"
2022-08-03,6,"svr","gpr","lm"
2022-08-03,7,"svr","gam","gpr"
2022-08-04,0,"xgb","arima","garch"
2022-08-04,1,"xgb","arima","lm"
2022-08-04,2,"xgb","gpr","garch"
2022-08-04,3,"gpr","svr","lm"
2022-08-04,4,"xgb","svr","gpr"
2022-08-04,5,"svr","gpr","lm"
2022-08-04,6,"svr","gpr","lm"
2022-08-04,7,"svr","gru","xgb"
2022-08-05,0,"xgb","gbm","arima"
2022-08-05,1,"xgb","gpr","arima"
2022-08-05,2,"xgb","gpr","lm"
2022-08-05,3,"xgb","gru","gpr"
2022-08-05,4,"svr","gpr","xgb"
2022-08-05,5,"xgb","svr","gru"
2022-08-05,6,"svr","xgb","rf"
2022-08-05,7,"rf","svr","gbm"
2022-08-06,0,"xgb","gru","gam"
2022-08-06,1,"xgb","gpr","arima"
2022-08-06,2,"gpr","gru","lm"
2022-08-06,3,"gru","xgb","gpr"
2022-08-06,4,"gru","xgb","svr"
2022-08-06,5,"svr","gru","xgb"
2022-08-06,6,"rf","xgb","gbm"
2022-08-06,7,"rf","gbm","xgb"
2022-08-07,0,"xgb","gam","gru"
2022-08-07,1,"xgb","gru","gam"
2022-08-07,2,"xgb","gpr","gru"
2022-08-07,3,"gru","gpr","svr"
2022-08-07,4,"gru","xgb","svr"
2022-08-07,5,"gru","gbm","xgb"
2022-08-07,6,"rf","gbm","xgb"
2022-08-07,7,"rf","gbm","xgb"
2022-08-08,0,"xgb","gam","gru"
2022-08-08,1,"xgb","gru","arima"
2022-08-08,2,"xgb","gru","gpr"
2022-08-08,3,"xgb","gru","gpr"
2022-08-08,4,"gru","svr","xgb"
2022-08-08,5,"gru","gbm","xgb"
2022-08-08,6,"gbm","rf","gru"
2022-08-08,7,"rf","gbm","xgb"
2022-08-09,0,"xgb","gam","gbm"
2022-08-09,1,"xgb","gru","arima"
2022-08-09,2,"xgb","svr","arima"
2022-08-09,3,"xgb","gru","svr"
2022-08-09,4,"xgb","gru","svr"
2022-08-09,5,"gru","xgb","svr"
2022-08-09,6,"gbm","gru","rf"
2022-08-09,7,"gbm","rf","xgb"
2022-08-10,0,"gru","xgb","gam"
2022-08-10,1,"xgb","arima","gru"
2022-08-10,2,"xgb","arima","svr"
2022-08-10,3,"xgb","svr","gpr"
2022-08-10,4,"xgb","gru","svr"
2022-08-10,5,"xgb","gru","svr"
2022-08-10,6,"gru","xgb","gbm"
2022-08-10,7,"gbm","rf","xgb"
2022-08-11,0,"xgb","gru","gam"
2022-08-11,1,"gru","xgb","arima"
2022-08-11,2,"xgb","arima","garch"
2022-08-11,3,"xgb","svr","arima"
2022-08-11,4,"svr","xgb","gpr"
2022-08-11,5,"xgb","svr","gru"
2022-08-11,6,"xgb","gru","svr"
2022-08-11,7,"xgb","gbm","rf"
2022-08-12,0,"gpr","arima","garch"
2022-08-12,1,"xgb","gru","gam"
2022-08-12,2,"gru","xgb","arima"
2022-08-12,3,"xgb","arima","garch"
2022-08-12,4,"svr","xgb","garch"
2022-08-12,5,"svr","xgb","gru"
2022-08-12,6,"gru","svr","xgb"
2022-08-12,7,"gru","xgb","gbm"
2022-08-13,0,"garch","arima","rf"
2022-08-13,1,"arima","garch","gpr"
2022-08-13,2,"gam","xgb","gru"
2022-08-13,3,"arima","garch","gru"
2022-08-13,4,"garch","arima","gpr"
2022-08-13,5,"svr","gru","gpr"
2022-08-13,6,"gru","svr","xgb"
2022-08-13,7,"gru","xgb","svr"
2022-08-14,0,"gru","gam","rf"
2022-08-14,1,"garch","arima","lm"
2022-08-14,2,"arima","garch","lm"
2022-08-14,3,"gam","gru","xgb"
2022-08-14,4,"arima","garch","gpr"
2022-08-14,5,"garch","gpr","arima"
2022-08-14,6,"gru","gpr","svr"
2022-08-14,7,"gru","gpr","lm"
2022-08-15,0,"gru","arima","garch"
2022-08-15,1,"gru","gam","rf"
2022-08-15,2,"garch","arima","lm"
2022-08-15,3,"arima","garch","lm"
2022-08-15,4,"gru","gam","xgb"
2022-08-15,5,"garch","arima","gpr"
2022-08-15,6,"gru","garch","gpr"
2022-08-15,7,"gru","gpr","lm"
2022-08-16,0,"gru","garch","arima"
2022-08-16,1,"gru","arima","garch"
2022-08-16,2,"gru","arima","garch"
2022-08-16,3,"garch","arima","lm"
2022-08-16,4,"lm","gpr","arima"
2022-08-16,5,"gru","gam","rf"
2022-08-16,6,"garch","arima","gpr"
2022-08-16,7,"gru","gpr","garch"
2022-08-17,0,"gru","garch","arima"
2022-08-17,1,"gru","garch","arima"
2022-08-17,2,"gru","garch","arima"
2022-08-17,3,"gru","arima","garch"
2022-08-17,4,"garch","arima","gpr"
2022-08-17,5,"gpr","lm","arima"
2022-08-17,6,"gru","gam","gpr"
2022-08-17,7,"gpr","garch","arima"
2022-08-18,0,"gru","gam","garch"
2022-08-18,1,"gru","garch","arima"
2022-08-18,2,"gru","garch","arima"
2022-08-18,3,"gru","garch","arima"
2022-08-18,4,"gru","arima","garch"
2022-08-18,5,"gpr","gru","garch"
2022-08-18,6,"gpr","gru","lm"
2022-08-18,7,"gru","gpr","garch"
2022-08-19,0,"gru","gam","garch"
2022-08-19,1,"gru","gam","garch"
2022-08-19,2,"gru","garch","arima"
2022-08-19,3,"gru","garch","arima"
2022-08-19,4,"gru","gpr","garch"
2022-08-19,5,"gru","gpr","arima"
2022-08-19,6,"gru","gpr","lm"
2022-08-19,7,"gpr","gru","lm"
2022-08-20,0,"gru","gam","garch"
2022-08-20,1,"gru","gam","garch"
2022-08-20,2,"gru","gam","garch"
2022-08-20,3,"gru","garch","arima"
2022-08-20,4,"gru","garch","gpr"
2022-08-20,5,"gru","gpr","lm"
2022-08-20,6,"gru","gpr","lm"
2022-08-20,7,"gru","gpr","lm"
2022-08-21,0,"gam","gru","garch"
2022-08-21,1,"gam","gru","garch"
2022-08-21,2,"gru","gam","garch"
2022-08-21,3,"gru","garch","gam"
2022-08-21,4,"gru","garch","arima"
2022-08-21,5,"gru","gpr","garch"
2022-08-21,6,"gru","gpr","lm"
2022-08-21,7,"gru","gpr","lm"
2022-08-22,0,"gam","garch","arima"
2022-08-22,1,"gam","garch","arima"
2022-08-22,2,"gam","gru","garch"
2022-08-22,3,"gru","gam","garch"
2022-08-22,4,"gru","garch","arima"
2022-08-22,5,"gru","gpr","garch"
2022-08-22,6,"gru","gpr","lm"
2022-08-22,7,"gru","gpr","lm"
2022-08-23,0,"gam","garch","arima"
2022-08-23,1,"gam","garch","arima"
2022-08-23,2,"gam","garch","arima"
2022-08-23,3,"gam","gru","garch"
2022-08-23,4,"gam","gru","garch"
2022-08-23,5,"gpr","gru","garch"
2022-08-23,6,"gru","gpr","lm"
2022-08-23,7,"gru","gpr","lm"
2022-08-24,0,"gam","xgb","garch"
2022-08-24,1,"gam","xgb","garch"
2022-08-24,2,"gam","garch","arima"
2022-08-24,3,"gam","garch","lm"
2022-08-24,4,"gam","gru","xgb"
2022-08-24,5,"gam","gru","gpr"
2022-08-24,6,"gpr","lm","gru"
2022-08-24,7,"gru","gpr","lm"
2022-08-25,0,"garch","arima","gam"
2022-08-25,1,"gam","xgb","garch"
2022-08-25,2,"gam","xgb","garch"
2022-08-25,3,"gam","garch","arima"
2022-08-25,4,"gam","lm","garch"
2022-08-25,5,"gam","gru","xgb"
2022-08-25,6,"gam","gru","gpr"
2022-08-25,7,"gpr","gru","lm"
2022-08-26,0,"garch","arima","gam"
2022-08-26,1,"garch","arima","gam"
2022-08-26,2,"gam","xgb","garch"
2022-08-26,3,"gam","xgb","garch"
2022-08-26,4,"gam","xgb","garch"
2022-08-26,5,"gam","lm","gpr"
2022-08-26,6,"gam","xgb","gpr"
2022-08-26,7,"gam","gru","gpr"
2022-08-27,0,"arima","garch","gam"
2022-08-27,1,"arima","garch","lm"
2022-08-27,2,"garch","arima","gam"
2022-08-27,3,"xgb","gam","garch"
2022-08-27,4,"gam","xgb","arima"
2022-08-27,5,"gam","xgb","garch"
2022-08-27,6,"gam","gpr","lm"
2022-08-27,7,"gam","gpr","xgb"
2022-08-28,0,"arima","garch","lm"
2022-08-28,1,"arima","garch","lm"
2022-08-28,2,"garch","arima","lm"
2022-08-28,3,"xgb","arima","gam"
2022-08-28,4,"xgb","gam","lm"
2022-08-28,5,"gam","xgb","lm"
2022-08-28,6,"gam","gpr","lm"
2022-08-28,7,"gpr","lm","gam"
2022-08-29,0,"gam","gbm","garch"
2022-08-29,1,"arima","garch","lm"
2022-08-29,2,"arima","garch","lm"
2022-08-29,3,"xgb","garch","arima"
2022-08-29,4,"xgb","gam","arima"
2022-08-29,5,"gam","xgb","lm"
2022-08-29,6,"gam","gpr","lm"
2022-08-29,7,"gam","gpr","lm"
2022-08-30,0,"gam","garch","arima"
2022-08-30,1,"arima","garch","gam"
2022-08-30,2,"arima","garch","lm"
2022-08-30,3,"arima","garch","xgb"
2022-08-30,4,"xgb","gam","garch"
2022-08-30,5,"xgb","gam","lm"
2022-08-30,6,"gpr","gam","lm"
2022-08-30,7,"gam","gpr","lm"
2022-08-31,0,"gam","garch","arima"
2022-08-31,1,"arima","garch","gam"
2022-08-31,2,"arima","garch","xgb"
2022-08-31,3,"garch","arima","lm"
2022-08-31,4,"xgb","arima","garch"
2022-08-31,5,"xgb","gam","lm"
2022-08-31,6,"rf","gam","gpr"
2022-08-31,7,"rf","gbm","gpr"
2022-09-01,0,"gam","garch","arima"
2022-09-01,1,"gam","garch","arima"
2022-09-01,2,"arima","garch","gbm"
2022-09-01,3,"xgb","arima","garch"
2022-09-01,4,"garch","arima","xgb"
2022-09-01,5,"xgb","arima","lm"
2022-09-01,6,"rf","gbm","gam"
2022-09-01,7,"rf","gbm","gam"
2022-09-02,0,"rf","gam","xgb"
2022-09-02,1,"gam","garch","gbm"
2022-09-02,2,"gbm","garch","arima"
2022-09-02,3,"xgb","arima","garch"
2022-09-02,4,"xgb","arima","garch"
2022-09-02,5,"rf","garch","arima"
2022-09-02,6,"rf","gbm","lm"
2022-09-02,7,"rf","gbm","gam"
2022-09-03,0,"rf","gam","xgb"
2022-09-03,1,"rf","gbm","xgb"
2022-09-03,2,"gbm","rf","garch"
2022-09-03,3,"gbm","garch","arima"
2022-09-03,4,"xgb","arima","garch"
2022-09-03,5,"arima","garch","rf"
2022-09-03,6,"rf","gbm","garch"
2022-09-03,7,"rf","gbm","gpr"
2022-09-04,0,"gam","rf","gru"
2022-09-04,1,"rf","gbm","xgb"
2022-09-04,2,"rf","gbm","xgb"
2022-09-04,3,"gbm","rf","garch"
2022-09-04,4,"gbm","arima","garch"
2022-09-04,5,"arima","garch","rf"
2022-09-04,6,"rf","arima","garch"
2022-09-04,7,"rf","gbm","gpr"
2022-09-05,0,"gam","garch","lm"
2022-09-05,1,"gam","rf","xgb"
2022-09-05,2,"rf","gbm","xgb"
2022-09-05,3,"gbm","rf","garch"
2022-09-05,4,"gbm","rf","garch"
