"var","coef","CI_lwr","CI_upr","modelname"
"mu","0.349566246643572","NaN","NaN","garch"
"ma1","-0.186558693180522","-0.377769308984423","0.00465192262337849","garch"
"temperature_lag7","-0.071889115205423","-0.129480306148417","-0.0142979242624291","garch"
"carbon_monoxide_lag4","0.0108120868521735","-0.0331443137130916","0.0547684874174385","garch"
"StringencyIndex_WeightedAverage_lag1","0.012733120072742","-0.0222105267660283","0.0476767669115123","garch"
"scaled_case_lag1","0.940393599986878","NaN","NaN","garch"
"ct_sm_7_lag7","-0.0832100168528137","NaN","NaN","garch"
"omega","0.0033026667883082","-0.00168890470175167","0.00829423827836807","garch"
"beta1","0.930310180621098","0.82908445428726","1.03153590695494","garch"
"mu","0.531311545698933","NaN","NaN","garch"
"ma1","-0.122503393091328","-0.309346771794623","0.0643399856119668","garch"
"temperature_lag7","-0.0630426172662611","-0.125266049694243","-0.000819184838278912","garch"
"carbon_monoxide_lag3","0.00879937437580814","-0.0397563623329928","0.0573551110846091","garch"
"StringencyIndex_WeightedAverage_lag1","0.0220327217978948","-0.0366915976254121","0.0807570412212016","garch"
"scaled_case_lag1","0.913768032125033","NaN","NaN","garch"
"ct_sm_7_lag7","-0.138646380187418","NaN","NaN","garch"
"omega","0.00365029461010801","-0.00140140864535601","0.00870199786557204","garch"
"beta1","0.921032998427022","0.816217769383451","1.02584822747059","garch"
"mu","0.26654455139432","NaN","NaN","garch"
"ma1","-0.146963920202441","-0.339173317719933","0.0452454773150504","garch"
"temperature_lag7","-0.0315527128407992","-0.0935482155006991","0.0304427898191006","garch"
"carbon_monoxide_lag2","0.0101721594312743","-0.0374711358936096","0.0578154547561581","garch"
"StringencyIndex_WeightedAverage_lag1","0.0047279592273419","-0.0569826635363252","0.066438581991009","garch"
"scaled_case_lag1","0.951067219548587","NaN","NaN","garch"
"ct_sm_7_lag7","-0.0860199768982265","-0.127128450961534","-0.0449115028349186","garch"
"omega","0.00387299402326135","-0.00119216539858727","0.00893815344510997","garch"
"beta1","0.912928162962659","0.804391866357324","1.02146445956799","garch"
"mu","0.0755658811169565","NaN","NaN","garch"
"ma1","-0.169480207829704","-0.366243095199502","0.0272826795400944","garch"
"temperature_lag7","-0.0153163709822681","-0.0752165470590312","0.0445838050944951","garch"
"carbon_monoxide_lag1","0.0105271864678511","-0.0358946281939106","0.0569490011296128","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.00676350937329711","-0.0751853893068876","0.0616583705602934","garch"
"scaled_case_lag1","0.978273319652071","NaN","NaN","garch"
"ct_sm_7_lag7","-0.0416768493749784","-0.100083388346034","0.0167296895960769","garch"
"omega","0.00449836857389895","-0.00134695520669394","0.0103436923544918","garch"
"beta1","0.892452575883761","0.759359993210164","1.02554515855736","garch"
"mu","-0.239510117863929","NaN","NaN","garch"
"ma1","-0.256776039396464","-0.455369397483334","-0.058182681309595","garch"
"temperature_lag7","0.0171119897148233","-0.0355263714062834","0.0697503508359299","garch"
"carbon_monoxide_lag1","0.00402542553184117","-0.037149389809509","0.0452002408731913","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.00771083912043811","-0.0690410338943049","0.0536193556534287","garch"
"scaled_case_lag1","1.02374611110616","NaN","NaN","garch"
"ct_sm_7_lag7","0.0362094335018916","-0.0242457982464531","0.0966646652502362","garch"
"omega","0.00627781934662964","-0.00434494537595705","0.0169005840692163","garch"
"beta1","0.835845004308339","0.571192502598168","1.10049750601851","garch"
"mu","-0.870914494081223","-0.909581526722113","-0.832247461440334","garch"
"ma1","-0.597996845602897","-0.833020373678343","-0.362973317527452","garch"
"temperature_lag7","0.0521915919117582","0.0237195093912602","0.0806636744322563","garch"
"carbon_monoxide_lag1","-0.0099974015428928","-0.034198540468528","0.0142037373827424","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.012571848016365","-0.0430443373806439","0.017900641347914","garch"
"scaled_case_lag1","1.11574865794617","1.11004487527701","1.12145244061532","garch"
"ct_sm_7_lag6","0.204344264037887","0.169917434010517","0.238771094065256","garch"
"omega","0.00353712124723923","-0.0109179950973352","0.0179922375918137","garch"
"beta1","0.900600630464744","0.497834249778355","1.30336701115113","garch"
"mu","-0.900068128036166","-0.958017599512194","-0.842118656560139","garch"
"ma1","-0.559578829956823","-0.79816346812044","-0.320994191793206","garch"
"temperature_lag7","0.051197774465946","0.0208629101044498","0.0815326388274422","garch"
"carbon_monoxide_lag1","-0.0236526425314826","-0.0491006523930766","0.00179536733011134","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.0154959571821571","-0.04858096551393","0.0175890511496158","garch"
"scaled_case_lag1","1.12055035481229","1.11181142311867","1.12928928650592","garch"
"ct_sm_7_lag5","0.204633110835142","0.166500285305364","0.24276593636492","garch"
"omega","0.00458305879129728","-0.0277403624061696","0.0369064799887641","garch"
"beta1","0.874824955477331","-0.0059792061869085","1.75562911714157","garch"
"mu","-0.977433499982628","NaN","NaN","garch"
"ma1","-0.690719637162752","-0.909496133724287","-0.471943140601217","garch"
"temperature_lag6","0.0548833123957226","0.0320387213876612","0.077727903403784","garch"
"carbon_monoxide_lag1","-0.0309344927224264","-0.0515169399167218","-0.0103520455281311","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.0159218008966938","-0.0395783627454558","0.00773476095206822","garch"
"scaled_case_lag1","1.13184990822192","NaN","NaN","garch"
"ct_sm_7_lag4","0.224883218927907","0.200220454836592","0.249545983019221","garch"
"omega","0.00537575179120823","NaN","NaN","garch"
"beta1","0.845015769563833","NaN","NaN","garch"
"mu","-0.680433554820702","NaN","NaN","garch"
"ma1","-0.54414983432743","-0.806711926112784","-0.281587742542075","garch"
"temperature_lag5","0.0384091584923475","0.00713213803160483","0.0696861789530901","garch"
"carbon_monoxide_lag7","-0.0111442546873405","-0.0397164399289348","0.0174279305542539","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.00339471322662552","-0.0387773179895864","0.0319878915363353","garch"
"scaled_case_lag1","1.08764584205658","NaN","NaN","garch"
"ct_sm_7_lag3","0.16160979090948","0.131568373171242","0.191651208647717","garch"
"omega","0.0111171008662247","-0.0416320963986551","0.0638662981311045","garch"
"beta1","0.681200674970885","-0.822906679643851","2.18530802958562","garch"
"mu","-0.54700251899557","-0.565537618298965","-0.528467419692175","garch"
"ma1","-0.614328681526545","-0.8659363759051","-0.36272098714799","garch"
"temperature_lag4","0.0421003622657986","0.017165275029502","0.0670354495020952","garch"
"carbon_monoxide_lag6","-0.0136352324153894","-0.0357931350872834","0.00852267025650452","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.000184939876618375","-0.0282647638084454","0.0286346435616822","garch"
"scaled_case_lag1","1.06745540838946","1.06455103210219","1.07035978467674","garch"
"ct_sm_7_lag2","0.125667263755333","0.098432701137265","0.1529018263734","garch"
"omega","0.000187224278319732","-0.00143716975757807","0.00181161831421753","garch"
"beta1","0.998999999981869","0.953789837262236","1.0442101627015","garch"
"mu","-0.517268289785884","-0.538070879701724","-0.496465699870045","garch"
"ma1","-0.585629756912768","-0.838312571080142","-0.332946942745395","garch"
"temperature_lag3","0.0420550896149834","0.0156115296494957","0.0684986495804711","garch"
"carbon_monoxide_lag5","-0.0120738429256471","-0.035392607918934","0.0112449220676397","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.000277381550452118","-0.0306454994240497","0.0300907363231455","garch"
"scaled_case_lag1","1.06301701204313","1.05982524419377","1.06620877989249","garch"
"ct_sm_7_lag1","0.117719969887047","0.0891842566739544","0.146255683100139","garch"
"omega","0.000188764597552647","-0.00147602009053363","0.00185354928563892","garch"
"beta1","0.998999999271115","0.95319716234087","1.04480283620136","garch"
"mu","-0.486699768236436","-0.510081299577065","-0.463318236895807","garch"
"ma1","-0.55670406944228","-0.808495348267063","-0.304912790617497","garch"
"temperature_lag2","0.0409288956254729","0.0121600919619211","0.0696976992890247","garch"
"carbon_monoxide_lag4","-0.0119403077472237","-0.0366508489085767","0.0127702334141293","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.00520760785087693","-0.0279385850482854","0.0383538007500392","garch"
"scaled_case_lag1","1.05877871351418","1.05523871876575","1.0623187082626","garch"
"ct_sm_7_lag1","0.11050431690091","0.0804445318939226","0.140564101907897","garch"
"omega","0.000192572101003636","-0.00155242759702715","0.00193757179903442","garch"
"beta1","0.998999999194311","0.951903166879848","1.04609683150877","garch"
"mu","-0.537116984005699","-0.559295712022188","-0.514938255989209","garch"
"ma1","-0.575031412511269","-0.822235633995583","-0.327827191026955","garch"
"temperature_lag1","0.0329534335796512","0.00279009091140177","0.0631167762479006","garch"
"carbon_monoxide_lag3","-0.0173094700668126","-0.0419836616523288","0.00736472151870361","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.0104376602053806","-0.0217846861305831","0.0426600065413442","garch"
"scaled_case_lag1","1.06690877130956","1.06353697571099","1.07028056690814","garch"
"ct_sm_7_lag1","0.126696826843244","0.0982862698242519","0.155107383862236","garch"
"omega","0.000202637033475161","-0.00186686260163378","0.0022721366685841","garch"
"beta1","0.998999999684397","0.942763817699801","1.05523618166899","garch"
"mu","0.245711054584556","0.197710174579833","0.293711934589278","garch"
"ma1","-0.339602106999309","-0.571450974540021","-0.107753239458597","garch"
"temperature_lag3","-0.0256910132377779","-0.0625327595927658","0.01115073311721","garch"
"carbon_monoxide_lag2","-0.0150106133218074","-0.0467808604088515","0.0167596337652366","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.00771733045031537","-0.0620420519030398","0.0466073910024091","garch"
"scaled_case_lag1","0.948178356811764","0.940981303245551","0.955375410377977","garch"
"ct_sm_7_lag5","-0.0786119419803213","-0.125622177651467","-0.0316017063091759","garch"
"omega","0.000236869611168166","-0.00304738261268731","0.00352112183502364","garch"
"beta1","0.99899999967723","0.914958091035442","1.08304190831902","garch"
"mu","0.156215765388044","0.106996893491599","0.205434637284489","garch"
"ma1","-0.343854123109781","-0.578247373797563","-0.109460872421999","garch"
"temperature_lag2","-0.0244756724982965","-0.0623668525027408","0.0134155075061479","garch"
"carbon_monoxide_lag1","-0.0164517430005703","-0.0485332822976595","0.0156297962965189","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.00547725725962381","-0.0488064979210611","0.0597610124403087","garch"
"scaled_case_lag1","0.961785794466121","0.954420458349549","0.969151130582694","garch"
"ct_sm_7_lag4","-0.0497446354074714","-0.0953490542367515","-0.0041402165781913","garch"
"omega","0.000236102826782592","-0.00288981093232623","0.00336201658589141","garch"
"beta1","0.998999999401148","0.919731671451747","1.07826832735055","garch"
"mu","0.329356454242774","NaN","NaN","garch"
"ma1","-0.18838576972501","-0.375104611478518","-0.00166692797150222","garch"
"temperature_lag7","-0.0717227440208978","-0.127120729254539","-0.0163247587872563","garch"
"carbon_monoxide_lag5","0.00417995704769959","-0.0387999512129885","0.0471598653083877","garch"
"StringencyIndex_WeightedAverage_lag1","0.0104946020162134","-0.00240271477707531","0.0233919188095021","garch"
"scaled_case_lag1","0.943058947075165","NaN","NaN","garch"
"ct_sm_7_lag7","-0.0818469386013639","NaN","NaN","garch"
"omega","0.00319101981706215","-0.00159214222448113","0.00797418185860544","garch"
"beta1","0.931688995348484","0.833311581750313","1.03006640894666","garch"
"mu","0.487097016748677","NaN","NaN","garch"
"ma1","-0.124154317212858","-0.306597302092113","0.0582886676663965","garch"
"temperature_lag7","-0.0633727398470284","-0.124178589316459","-0.00256689037759809","garch"
"carbon_monoxide_lag4","0.00394021098757825","-0.0434089296091115","0.051289351584268","garch"
"StringencyIndex_WeightedAverage_lag1","0.0205586407246199","-0.0337910988649226","0.0749083803141624","garch"
"scaled_case_lag1","0.919799894730593","NaN","NaN","garch"
"ct_sm_7_lag7","-0.12880312471759","NaN","NaN","garch"
"omega","0.00352256974682897","-0.00129793777429192","0.00834307726794986","garch"
"beta1","0.9225167887293","0.820891625598402","1.0241419518602","garch"
"mu","0.389216387236517","NaN","NaN","garch"
"ma1","-0.145059585914696","-0.335221247057985","0.0451020752285931","garch"
"temperature_lag6","-0.0599829193536878","-0.120044973296133","7.91345887576692e-05","garch"
"carbon_monoxide_lag3","0.00646422384785517","-0.0406229409520562","0.0535513886477666","garch"
"StringencyIndex_WeightedAverage_lag1","0.0132631765084478","-0.0458675233520374","0.0723938763689331","garch"
"scaled_case_lag1","0.933168972957375","NaN","NaN","garch"
"ct_sm_7_lag7","-0.101985036882559","-0.139272331695115","-0.0646977420700022","garch"
"omega","0.00392840498986708","-0.0013075726218069","0.00916438260154107","garch"
"beta1","0.910040247808947","0.795091725744774","1.02498876987312","garch"
"mu","0.292944997843447","NaN","NaN","garch"
"ma1","-0.162103692657278","-0.355065392242011","0.0308580069274554","garch"
"temperature_lag5","-0.0557634756751017","-0.114565551532313","0.00303860018211","garch"
"carbon_monoxide_lag2","0.00625626354049332","-0.039758546144001","0.0522710732249876","garch"
"StringencyIndex_WeightedAverage_lag1","0.00398919730424438","-0.0565528078224542","0.064531202430943","garch"
"scaled_case_lag1","0.946655814737825","NaN","NaN","garch"
"ct_sm_7_lag7","-0.0797476033904016","-0.130993160498627","-0.0285020462821758","garch"
"omega","0.00483725553686753","-0.00188257234093244","0.0115570834146675","garch"
"beta1","0.884549721575429","0.730169833700222","1.03892960945064","garch"
"mu","0.233624051619323","NaN","NaN","garch"
"ma1","-0.191392557378296","-0.381932215030498","-0.000852899726094647","garch"
"temperature_lag4","-0.0513522358138592","-0.107649602624045","0.00494513099632662","garch"
"carbon_monoxide_lag1","0.00971220186552053","-0.0337979916740632","0.0532223954051042","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.00880937772681374","-0.0575086686352155","0.075127424088843","garch"
"scaled_case_lag1","0.954485363573962","NaN","NaN","garch"
"ct_sm_7_lag7","-0.0574011577895453","-0.112842599035019","-0.00195971654407166","garch"
"omega","0.0103822012317868","-0.0164789881775973","0.0372433906411709","garch"
"beta1","0.737083679641661","0.0752420016699783","1.39892535761334","garch"
"mu","-0.0606861733212481","-0.221743065127811","0.100370718485315","garch"
"ma1","-0.283204323839561","-0.5077688070741","-0.058639840605022","garch"
"temperature_lag3","-0.0289468766745079","-0.0718523528534278","0.0139585995044119","garch"
"carbon_monoxide_lag1","0.00807706236685869","-0.0274985259977414","0.0436526507314588","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","0.010597694889377","-0.0430233294515612","0.0642187192303152","garch"
"scaled_case_lag1","0.996723670839469","0.972851075873389","1.02059626580555","garch"
"ct_sm_7_lag7","0.0281876318783582","-0.0393227673348","0.0956980310915164","garch"
"omega","0.00568189886786513","-0.0374177475072512","0.0487815452429815","garch"
"beta1","0.853276108153779","-0.256589025166828","1.96314124147439","garch"
"mu","-0.622296493055964","-0.69860293213344","-0.545990053978487","garch"
"ma1","-0.472760246200428","-0.72611679909706","-0.219403693303796","garch"
"temperature_lag7","0.0392060707209633","0.0042713301375677","0.074140811304359","garch"
"carbon_monoxide_lag1","-0.018359432012905","-0.0472340161389387","0.0105151521131287","garch"
"GovernmentResponseIndex_WeightedAverage_lag1","-0.0122723659902832","-0.0527738800524696","0.0282291480719033","garch"
"scaled_case_lag1","1.08077145707441","1.06937741452002","1.09216549962881","garch"
"ct_sm_7_lag6","0.134205565487502","0.0884619139466092","0.179949217028395","garch"
"omega","0.00506487846178988","-0.0239928708856651","0.0341226278092448","garch"
"beta1","0.865064465309193","0.093603335182059","1.63652559543633","garch"
