var,coef,proj,modelname
temperature_lag7,0.11341995609519871,0,gbm
humidity_lag1,0.012609526638739058,0,gbm
wind_speed_lag3,0.009171893965708267,0,gbm
carbon_monoxide_lag5,0.046558671684904546,0,gbm
fine_suspended_particulates_lag1,0.023816770537811466,0,gbm
nitrogen_dioxide_lag2,0.01952155183290087,0,gbm
nitrogen_oxides_lag4,0.03967952042460748,0,gbm
sulphur_dioxide_lag1,0.02039763588846992,0,gbm
ozone_lag6,0.003774338280708967,0,gbm
StringencyIndex_WeightedAverage_lag1,0.27234431123722536,0,gbm
scaled_case_lag1,0.4387058234137253,0,gbm
temperature_lag7,0.11933527860596561,1,gbm
humidity_lag1,0.014850221260585657,1,gbm
wind_speed_lag2,0.006388111051366468,1,gbm
carbon_monoxide_lag4,0.03771462922471063,1,gbm
nitrogen_dioxide_lag1,0.028209286929283737,1,gbm
fine_suspended_particulates_lag1,0.018102289366517223,1,gbm
nitrogen_oxides_lag3,0.039063452742052224,1,gbm
sulphur_dioxide_lag1,0.020197078491502252,1,gbm
ozone_lag7,0.009050965686865253,1,gbm
StringencyIndex_WeightedAverage_lag1,0.23345240786219368,1,gbm
scaled_case_lag1,0.4736362787789572,1,gbm
temperature_lag6,0.10764789929038235,2,gbm
humidity_lag7,0.008502585833849292,2,gbm
wind_speed_lag1,0.009143588347740754,2,gbm
carbon_monoxide_lag3,0.03457127559632554,2,gbm
nitrogen_dioxide_lag1,0.028553985794642828,2,gbm
fine_suspended_particulates_lag1,0.01419858509153342,2,gbm
nitrogen_oxides_lag2,0.040454274850307996,2,gbm
sulphur_dioxide_lag1,0.017757591452575095,2,gbm
ozone_lag6,0.010410827908131108,2,gbm
StringencyIndex_WeightedAverage_lag1,0.26717804546129004,2,gbm
scaled_case_lag1,0.46158134037322157,2,gbm
temperature_lag5,0.11538890853061776,3,gbm
humidity_lag6,0.012485586569928197,3,gbm
wind_speed_lag7,0.0056126258250820925,3,gbm
carbon_monoxide_lag2,0.03776526740133056,3,gbm
nitrogen_dioxide_lag1,0.029259763730466227,3,gbm
nitrogen_oxides_lag1,0.028314033438609488,3,gbm
fine_suspended_particulates_lag1,0.017374834390818515,3,gbm
sulphur_dioxide_lag1,0.009904589919441618,3,gbm
ozone_lag5,0.011633693514382195,3,gbm
StringencyIndex_WeightedAverage_lag1,0.25711326989228583,3,gbm
scaled_case_lag1,0.4751474267870375,3,gbm
temperature_lag4,0.12315145242942986,4,gbm
humidity_lag5,0.014902995192176227,4,gbm
wind_speed_lag7,0.012056363680552759,4,gbm
carbon_monoxide_lag1,0.03485787608680033,4,gbm
nitrogen_dioxide_lag1,0.028926464600866352,4,gbm
nitrogen_oxides_lag1,0.03647861959522223,4,gbm
fine_suspended_particulates_lag1,0.020915169946270244,4,gbm
respirable_suspended_particulates_lag1,0.014234725355470568,4,gbm
sulphur_dioxide_lag1,0.013667063167607376,4,gbm
ozone_lag4,0.014095408854937075,4,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.27517015773619924,4,gbm
scaled_case_lag1,0.41154370335446777,4,gbm
temperature_lag3,0.1245134319272016,5,gbm
humidity_lag4,0.00956976797404722,5,gbm
wind_speed_lag7,0.013640204258877511,5,gbm
carbon_monoxide_lag1,0.044029859090103145,5,gbm
nitrogen_dioxide_lag1,0.01892068212772667,5,gbm
nitrogen_oxides_lag1,0.04043612570023627,5,gbm
fine_suspended_particulates_lag6,0.036731308666822206,5,gbm
sulphur_dioxide_lag1,0.013163529886318947,5,gbm
ozone_lag3,0.015127914119856567,5,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.2758713959080205,5,gbm
scaled_case_lag1,0.40799578034078937,5,gbm
temperature_lag7,0.15741724690502631,6,gbm
wind_speed_lag7,0.007365010453504795,6,gbm
humidity_lag3,0.009357960839048938,6,gbm
carbon_monoxide_lag1,0.05313409292913679,6,gbm
nitrogen_dioxide_lag5,0.010322116109521776,6,gbm
nitrogen_oxides_lag3,0.02926086076806124,6,gbm
fine_suspended_particulates_lag5,0.02092654995148743,6,gbm
sulphur_dioxide_lag3,0.010995477523797472,6,gbm
ozone_lag2,0.014603869931694788,6,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.24336432227656582,6,gbm
scaled_case_lag1,0.4432524923121546,6,gbm
temperature_lag7,0.1530225369159486,7,gbm
wind_speed_lag7,0.009963006075888943,7,gbm
humidity_lag2,0.011257656025149115,7,gbm
carbon_monoxide_lag1,0.03333601614712687,7,gbm
nitrogen_dioxide_lag4,0.014822418322452978,7,gbm
nitrogen_oxides_lag2,0.018289119922898358,7,gbm
fine_suspended_particulates_lag4,0.023757498124954344,7,gbm
sulphur_dioxide_lag2,0.011648516050508224,7,gbm
ozone_lag1,0.009434098372340705,7,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.2380229146174679,7,gbm
scaled_case_lag1,0.47644621942526394,7,gbm
temperature_lag7,0.1440752893308337,8,gbm
wind_speed_lag6,0.0134017169325832,8,gbm
humidity_lag1,0.01261303467437994,8,gbm
carbon_monoxide_lag7,0.03737305617036789,8,gbm
nitrogen_dioxide_lag3,0.020703864333045125,8,gbm
nitrogen_oxides_lag1,0.03209665648761661,8,gbm
fine_suspended_particulates_lag3,0.041453411502461665,8,gbm
sulphur_dioxide_lag1,0.014772482794062285,8,gbm
ozone_lag1,0.00869763344668359,8,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.2207667310832037,8,gbm
scaled_case_lag1,0.45404612324476235,8,gbm
temperature_lag7,0.12596798096090295,9,gbm
wind_speed_lag7,0.01798275368600477,9,gbm
humidity_lag7,0.014585810606094244,9,gbm
carbon_monoxide_lag6,0.024701650304203213,9,gbm
nitrogen_dioxide_lag2,0.02497966873054563,9,gbm
nitrogen_oxides_lag1,0.03582666443245682,9,gbm
fine_suspended_particulates_lag2,0.03475729805247907,9,gbm
sulphur_dioxide_lag1,0.01463110206011105,9,gbm
ozone_lag1,0.008941944806848528,9,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.2155134718299974,9,gbm
scaled_case_lag1,0.48211165453035626,9,gbm
temperature_lag6,0.16645332595578943,10,gbm
wind_speed_lag7,0.009397468369921254,10,gbm
humidity_lag7,0.015925342198698622,10,gbm
carbon_monoxide_lag5,0.0244362309662077,10,gbm
nitrogen_dioxide_lag1,0.022139456629181292,10,gbm
nitrogen_oxides_lag7,0.02220257442704992,10,gbm
fine_suspended_particulates_lag1,0.027050900159732705,10,gbm
ozone_lag7,0.010439107654689373,10,gbm
sulphur_dioxide_lag1,0.015080656086355032,10,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.18005509696714223,10,gbm
scaled_case_lag1,0.5068198405852324,10,gbm
temperature_lag5,0.12368536811630625,11,gbm
humidity_lag7,0.016587058315144808,11,gbm
wind_speed_lag7,0.013881595316617375,11,gbm
carbon_monoxide_lag4,0.04103466774784716,11,gbm
nitrogen_dioxide_lag1,0.03638253387757624,11,gbm
nitrogen_oxides_lag7,0.013807292692471163,11,gbm
fine_suspended_particulates_lag1,0.037063417102860936,11,gbm
ozone_lag7,0.00724134274975136,11,gbm
sulphur_dioxide_lag1,0.011358920550345975,11,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.19742686251332345,11,gbm
scaled_case_lag1,0.5015309410177554,11,gbm
temperature_lag4,0.1633579460248745,12,gbm
humidity_lag7,0.019782180846004464,12,gbm
wind_speed_lag7,0.010830601004595142,12,gbm
carbon_monoxide_lag3,0.05137848319114459,12,gbm
nitrogen_dioxide_lag1,0.031685010227287355,12,gbm
nitrogen_oxides_lag6,0.022188374183705818,12,gbm
fine_suspended_particulates_lag1,0.025398257189446712,12,gbm
respirable_suspended_particulates_lag1,0.02002541046085266,12,gbm
ozone_lag7,0.010066637313891055,12,gbm
sulphur_dioxide_lag1,0.021160981207593736,12,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.17575015730515112,12,gbm
scaled_case_lag1,0.4483759610454528,12,gbm
temperature_lag3,0.10490443166242819,13,gbm
humidity_lag6,0.0261157981149836,13,gbm
wind_speed_lag7,0.010344674868047856,13,gbm
carbon_monoxide_lag2,0.0386990001230693,13,gbm
nitrogen_oxides_lag5,0.027142421421095533,13,gbm
nitrogen_dioxide_lag1,0.02924631050239152,13,gbm
fine_suspended_particulates_lag1,0.023720379327365832,13,gbm
respirable_suspended_particulates_lag1,0.022510357456374846,13,gbm
ozone_lag6,0.008929661901530167,13,gbm
sulphur_dioxide_lag7,0.020798715434583462,13,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.17130552551220374,13,gbm
scaled_case_lag1,0.516282723675926,13,gbm
temperature_lag2,0.14554248166043493,14,gbm
humidity_lag5,0.02151661208154856,14,gbm
wind_speed_lag7,0.012727851819853819,14,gbm
carbon_monoxide_lag1,0.03949762941953085,14,gbm
nitrogen_oxides_lag4,0.028768640019192167,14,gbm
nitrogen_dioxide_lag1,0.0251328828071127,14,gbm
fine_suspended_particulates_lag1,0.019451659708542582,14,gbm
ozone_lag5,0.017571220952502176,14,gbm
respirable_suspended_particulates_lag1,0.02464183166951303,14,gbm
sulphur_dioxide_lag6,0.022609429948655117,14,gbm
GovernmentResponseIndex_WeightedAverage_lag1,0.16908732593210532,14,gbm
scaled_case_lag1,0.47345243398100884,14,gbm
temperature_lag7,0.11537365183266585,0,gbm
humidity_lag1,0.018593475675444348,0,gbm
wind_speed_lag2,0.004056504364163744,0,gbm
carbon_monoxide_lag1,0.03457451550503133,0,gbm
fine_suspended_particulates_lag1,0.025313213380283767,0,gbm
nitrogen_dioxide_lag1,0.023764226824491596,0,gbm
nitrogen_oxides_lag5,0.027624633452296234,0,gbm
sulphur_dioxide_lag1,0.01634976821796507,0,gbm
ozone_lag7,0.013083453888858142,0,gbm
StringencyIndex_WeightedAverage_lag1,0.2589460771731364,0,gbm
scaled_case_lag1,0.46232047968566353,0,gbm
temperature_lag7,0.125790284834964,1,gbm
humidity_lag1,0.013699861852846752,1,gbm
wind_speed_lag7,0.0064892407296485745,1,gbm
carbon_monoxide_lag1,0.05011656075108745,1,gbm
fine_suspended_particulates_lag1,0.02018223660686541,1,gbm
nitrogen_dioxide_lag2,0.018662562707682087,1,gbm
nitrogen_oxides_lag4,0.038306912899631104,1,gbm
sulphur_dioxide_lag1,0.01862621320598132,1,gbm
ozone_lag6,0.008383179033647443,1,gbm
StringencyIndex_WeightedAverage_lag1,0.25542455401888287,1,gbm
scaled_case_lag1,0.444318393358763,1,gbm
temperature_lag6,0.11723388886215952,2,gbm
humidity_lag7,0.012983787436778246,2,gbm
wind_speed_lag7,0.010634592727590826,2,gbm
carbon_monoxide_lag4,0.03177804574799137,2,gbm
nitrogen_dioxide_lag1,0.02253966516406708,2,gbm
fine_suspended_particulates_lag1,0.0167231391888569,2,gbm
nitrogen_oxides_lag3,0.04166358500890859,2,gbm
sulphur_dioxide_lag1,0.017279897617714528,2,gbm
ozone_lag5,0.011560775523214654,2,gbm
StringencyIndex_WeightedAverage_lag1,0.23591495470284762,2,gbm
scaled_case_lag1,0.48168766801987073,2,gbm
temperature_lag5,0.1115470043976009,3,gbm
humidity_lag7,0.008592902924441956,3,gbm
wind_speed_lag6,0.008471708316255646,3,gbm
carbon_monoxide_lag3,0.03398552879482694,3,gbm
nitrogen_dioxide_lag1,0.025845953637093782,3,gbm
fine_suspended_particulates_lag1,0.01643193287211371,3,gbm
nitrogen_oxides_lag2,0.04264612325789692,3,gbm
sulphur_dioxide_lag1,0.0161940171336112,3,gbm
ozone_lag4,0.014562086745518827,3,gbm
StringencyIndex_WeightedAverage_lag1,0.27426613586552895,3,gbm
scaled_case_lag1,0.447456606055111,3,gbm
temperature_lag4,0.11865605798306456,4,gbm
humidity_lag6,0.012390076087591385,4,gbm
wind_speed_lag5,0.005870899612665466,4,gbm
