var,coef,proj,modelname
temperature_lag7,0.08893342,0,gru
carbon_monoxide_lag5,0.06602568,0,gru
StringencyIndex_WeightedAverage_lag1,0.20419513,0,gru
scaled_case_lag1,2.3284044,0,gru
temperature_lag7,0.08569849,1,gru
carbon_monoxide_lag4,0.06208117,1,gru
StringencyIndex_WeightedAverage_lag1,0.2074645,1,gru
scaled_case_lag1,2.350585,1,gru
temperature_lag6,0.08333732,2,gru
carbon_monoxide_lag3,0.06249891,2,gru
StringencyIndex_WeightedAverage_lag1,0.2052298,2,gru
scaled_case_lag1,2.3596668,2,gru
temperature_lag5,0.08088893,3,gru
carbon_monoxide_lag2,0.06008233,3,gru
StringencyIndex_WeightedAverage_lag1,0.21353367,3,gru
scaled_case_lag1,2.377802,3,gru
temperature_lag4,0.0805677,4,gru
carbon_monoxide_lag1,0.056305766,4,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.19495937,4,gru
scaled_case_lag1,2.355581,4,gru
temperature_lag3,0.081724316,5,gru
carbon_monoxide_lag1,0.05404263,5,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.17041956,5,gru
scaled_case_lag1,2.3026366,5,gru
temperature_lag7,0.076356314,6,gru
carbon_monoxide_lag1,0.057960987,6,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.1671476,6,gru
scaled_case_lag1,2.3527887,6,gru
temperature_lag7,0.07165196,7,gru
carbon_monoxide_lag1,0.07541079,7,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.15789738,7,gru
scaled_case_lag1,2.326689,7,gru
temperature_lag7,0.09631345,8,gru
carbon_monoxide_lag7,0.0479936,8,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.1369195,8,gru
scaled_case_lag1,2.20774,8,gru
temperature_lag7,0.083799705,9,gru
carbon_monoxide_lag6,0.045759723,9,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.13593568,9,gru
scaled_case_lag1,2.187564,9,gru
temperature_lag6,0.085688025,10,gru
carbon_monoxide_lag5,0.0473709,10,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.13147417,10,gru
scaled_case_lag1,2.1425657,10,gru
temperature_lag5,0.09631458,11,gru
carbon_monoxide_lag4,0.0478862,11,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.1161463,11,gru
scaled_case_lag1,2.0779727,11,gru
temperature_lag4,0.10802466,12,gru
carbon_monoxide_lag3,0.04788472,12,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.098721735,12,gru
scaled_case_lag1,2.01153,12,gru
temperature_lag3,0.11880804,13,gru
carbon_monoxide_lag2,0.045003686,13,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.09484257,13,gru
scaled_case_lag1,1.9667176,13,gru
temperature_lag2,0.121464625,14,gru
carbon_monoxide_lag1,0.042899653,14,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.07970958,14,gru
scaled_case_lag1,1.9172776,14,gru
temperature_lag7,0.09829861,0,gru
carbon_monoxide_lag1,0.038685944,0,gru
StringencyIndex_WeightedAverage_lag1,0.05247712,0,gru
scaled_case_lag1,1.369841,0,gru
ct_sm_7_lag7,0.6677827,0,gru
temperature_lag7,0.08872828,1,gru
carbon_monoxide_lag1,0.0431153,1,gru
StringencyIndex_WeightedAverage_lag1,0.17760688,1,gru
scaled_case_lag1,2.3207533,1,gru
temperature_lag6,0.0912163,2,gru
