"mytestdate","proj","var","coef","modelname"
2022-05-28,0,"(Intercept)",0.523297310252847,"lasso"
2022-05-28,0,"scaled_case_lag1",0.783072954090631,"lasso"
2022-05-28,0,"scaled_case_lag2",0.132701332064809,"lasso"
2022-05-28,0,"ct_sm_7_lag6",-0.0484786067664856,"lasso"
2022-05-28,0,"temperature_lag4",-0.0248200368543367,"lasso"
2022-05-28,0,"temperature_lag6",-0.0210837072219877,"lasso"
2022-05-28,1,"(Intercept)",0.69265167867106,"lasso"
2022-05-28,1,"scaled_case_lag1",0.758259059241472,"lasso"
2022-05-28,1,"scaled_case_lag2",0.132925794627681,"lasso"
2022-05-28,1,"ct_sm_7_lag7",-0.100420910340729,"lasso"
2022-05-28,1,"temperature_lag3",-0.0231427209641968,"lasso"
2022-05-28,1,"temperature_lag5",-0.0254799324013611,"lasso"
2022-05-28,2,"(Intercept)",0.734359535543072,"lasso"
2022-05-28,2,"scaled_case_lag1",0.813964696382634,"lasso"
2022-05-28,2,"scaled_case_lag2",0.0713289129121866,"lasso"
2022-05-28,2,"ct_sm_7_lag6",-0.0605091684262969,"lasso"
2022-05-28,3,"(Intercept)",0.726628503389224,"lasso"
2022-05-28,3,"scaled_case_lag1",0.809797366280327,"lasso"
2022-05-28,3,"scaled_case_lag2",0.0761696636105117,"lasso"
2022-05-28,3,"ct_sm_7_lag5",-0.0586966145306876,"lasso"
2022-05-28,4,"(Intercept)",0.709157763164285,"lasso"
2022-05-28,4,"scaled_case_lag1",0.809295423032544,"lasso"
2022-05-28,4,"scaled_case_lag2",0.0783844064912584,"lasso"
2022-05-28,4,"ct_sm_7_lag4",-0.0326981058222234,"lasso"
2022-05-28,4,"ct_sm_7_lag7",-0.0200452951298925,"lasso"
2022-05-28,5,"(Intercept)",0.320431877991791,"lasso"
2022-05-28,5,"scaled_case_lag1",0.793930971601087,"lasso"
2022-05-28,5,"scaled_case_lag2",0.146335337520975,"lasso"
2022-05-28,6,"(Intercept)",0.320606106884815,"lasso"
2022-05-28,6,"scaled_case_lag1",0.777590738227986,"lasso"
2022-05-28,6,"scaled_case_lag2",0.162118605749779,"lasso"
2022-05-28,7,"(Intercept)",0.320166684055585,"lasso"
2022-05-28,7,"scaled_case_lag1",0.769740351944658,"lasso"
2022-05-28,7,"scaled_case_lag2",0.142074287372941,"lasso"
2022-05-28,7,"scaled_case_lag3",4.70149169282806e-05,"lasso"
